,id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,cluster
83,7h08NnvD2653RHFdxbuey3,Cuando el rey nimrod,Romances séfardies (Sephardic Songs),Françoise Atlan,2005,155560,2,0.494,0.066,9,-18.439,0,0.0532,0.991,0.0,0.345,0.444,116.599,audio_features,spotify:track:7h08NnvD2653RHFdxbuey3,https://api.spotify.com/v1/tracks/7h08NnvD2653RHFdxbuey3,https://api.spotify.com/v1/audio-analysis/7h08NnvD2653RHFdxbuey3,155560,4,1
84,57iUD1uPKNj2AiDu1fLAjr,Mas Vale Trocar,Mazal,Fortuna,1999-05-03,161426,2,0.361,0.422,8,-8.783,0,0.226,0.473,6.42e-06,0.0895,0.64,182.255,audio_features,spotify:track:57iUD1uPKNj2AiDu1fLAjr,https://api.spotify.com/v1/tracks/57iUD1uPKNj2AiDu1fLAjr,https://api.spotify.com/v1/audio-analysis/57iUD1uPKNj2AiDu1fLAjr,161427,3,5
85,20uuPY2VnxBAuyS28hX5PF,Yedei Rashim,Mazal,Fortuna,1999-05-03,211160,2,0.377,0.274,7,-11.922,0,0.0413,0.855,7.62e-06,0.0949,0.216,83.671,audio_features,spotify:track:20uuPY2VnxBAuyS28hX5PF,https://api.spotify.com/v1/tracks/20uuPY2VnxBAuyS28hX5PF,https://api.spotify.com/v1/audio-analysis/20uuPY2VnxBAuyS28hX5PF,211160,4,1
86,17OuVFUPgk2SOgaXYxmlYL,Avram Avinu,Mazal,Fortuna,1999-05-03,219120,3,0.382,0.109,7,-13.75,1,0.0441,0.894,0.0,0.264,0.131,82.174,audio_features,spotify:track:17OuVFUPgk2SOgaXYxmlYL,https://api.spotify.com/v1/tracks/17OuVFUPgk2SOgaXYxmlYL,https://api.spotify.com/v1/audio-analysis/17OuVFUPgk2SOgaXYxmlYL,219120,3,1
87,0gxzutVD6c6qqfsnC93HKk,Morena Me Yaman,Ortaçağ Şarkıları / Medieval Music from 13th-15th Centuries,Ensemble Galatia,2013-05-13,251749,17,0.564,0.471,4,-10.393,0,0.03,0.403,4.44e-06,0.118,0.516,105.065,audio_features,spotify:track:0gxzutVD6c6qqfsnC93HKk,https://api.spotify.com/v1/tracks/0gxzutVD6c6qqfsnC93HKk,https://api.spotify.com/v1/audio-analysis/0gxzutVD6c6qqfsnC93HKk,251749,5,6
88,0zklPOGbmbCHFEzMmXATRk,Hija Mía,Alcantara,Amina Alaoui,1998-01-01,200866,25,0.597,0.508,0,-7.646,0,0.0321,0.83,4.05e-05,0.244,0.584,130.36,audio_features,spotify:track:0zklPOGbmbCHFEzMmXATRk,https://api.spotify.com/v1/tracks/0zklPOGbmbCHFEzMmXATRk,https://api.spotify.com/v1/audio-analysis/0zklPOGbmbCHFEzMmXATRk,200867,4,8
89,78hWCNoVw5qpOgIsVonjrE,"Morena - Sefardí, Trad.",Deus Et Diabolus,Al Andaluz Project,2007-10-26,283733,18,0.471,0.532,2,-9.928,1,0.0416,0.69,3.45e-06,0.0605,0.463,89.972,audio_features,spotify:track:78hWCNoVw5qpOgIsVonjrE,https://api.spotify.com/v1/tracks/78hWCNoVw5qpOgIsVonjrE,https://api.spotify.com/v1/audio-analysis/78hWCNoVw5qpOgIsVonjrE,283733,4,6
90,57qqmBqgQSaIMrcuPxRN2y,"La Galana Y El Mar - Sefardí, Trad.",Deus Et Diabolus,Al Andaluz Project,2007-10-26,277506,11,0.447,0.489,5,-9.36,1,0.0255,0.558,0.0,0.0542,0.197,96.597,audio_features,spotify:track:57qqmBqgQSaIMrcuPxRN2y,https://api.spotify.com/v1/tracks/57qqmBqgQSaIMrcuPxRN2y,https://api.spotify.com/v1/audio-analysis/57qqmBqgQSaIMrcuPxRN2y,277507,4,6
91,4CckcVcXGLPT8S8Eq1dAuo,"Nassam Alaina Lhawa - Árabo-andalusí, Trad.",Deus Et Diabolus,Al Andaluz Project,2007-10-26,279773,9,0.596,0.603,0,-9.337,1,0.0297,0.557,9.99e-06,0.0681,0.65,128.706,audio_features,spotify:track:4CckcVcXGLPT8S8Eq1dAuo,https://api.spotify.com/v1/tracks/4CckcVcXGLPT8S8Eq1dAuo,https://api.spotify.com/v1/audio-analysis/4CckcVcXGLPT8S8Eq1dAuo,279773,4,8
92,1BJ3pYMLmRbux1dbGvceky,El rey de Francia (Sefardí),Salam,Al Andaluz Project,2013-10-25,273613,8,0.531,0.745,5,-7.311,0,0.0322,0.606,0.00151,0.122,0.414,110.039,audio_features,spotify:track:1BJ3pYMLmRbux1dbGvceky,https://api.spotify.com/v1/tracks/1BJ3pYMLmRbux1dbGvceky,https://api.spotify.com/v1/audio-analysis/1BJ3pYMLmRbux1dbGvceky,273613,4,6
